text,label
quite much film quite excellent rather just interesting just,1
a much somewhat although forgettable rather a made poorly weak was movie,-1
somewhat little boring a script very rather quite film awful terrible overall is movie poor,-1
although overall hated actually is dull although plot is acting hated too terrible very disappointing,-1
liked story worth characters quite excellent acting much was is much much,1
well awful is great movie acting great acting movie actually,1
script skip skip terrible bad is awful characters characters however however but,-1
characters somewhat just recommend interesting good solid pretty just interesting much very pleasant script although,1
little acting is not although plot characters terrible good plot waste,-1
plot story good actually worth film boring poor but weak not,-1
good film acting not bad film enjoyed much still interesting great,1
movie however very fun is overall rather however fine a decent great somewhat,1
somewhat but plot although avoid movie hated but however,-1
fun dull good quite slow waste awful not plot but just actually,-1
interesting overall was enjoyed fun the just great quite,1
poor little little somewhat very enjoyed somewhat however great,1
film poor avoid characters awful plot just dull too avoid,-1
weak was disappointing rather waste actually somewhat weak however,-1
fine is quite overall story little well was enjoyed plot,1
is plot although made but skip weak too a just quite story acting hated poorly,-1
still much a excellent liked a but script rather poor still however recommend actually,1
slow much hated actually script overall slow interesting actually very,-1
but fun too actually solid film well story but plot although the script,1
movie characters very film interesting fun too little much,1
awful still overall was actually well was was disappointing quite,-1
poor script characters the terrible hated too actually script bad forgettable,-1
a script recommend much although not too cheap just however overall waste,-1
story actually interesting quite worth excellent enjoyed actually actually,1
liked movie good actually slow although still decent highly overall fine characters pleasant plot recommend,1
movie still disappointing fine solid the is is story,1
story just actually worth is excellent rather good actually somewhat actually somewhat characters enjoyed excellent,1
the skip quite skip film skip great script terrible boring a however overall story,-1
overall liked overall great still the however recommend,1
bad was boring actually much avoid waste is rather story film movie,-1
still liked however a too waste excellent too although just but script pretty good,1
script weak excellent however too recommend film done fun is nicely little,1
but slow cheap a rather too plot the dull somewhat boring quite,-1
film decent cheap still little overall too just decent decent,1
dull disappointing much actually awful characters very little too plot,-1
well film overall interesting too acted rather somewhat rather hated well,1
rather too disappointing a awful story slow awful too disappointing although,-1
actually actually little the just somewhat much dull cheap a bad too,-1
characters fun well still is story too excellent a but,1
story quite very too actually is boring disappointing is very weak bad,-1
actually fun much very story made characters very well liked however but,1
movie overall recommend still plot interesting little great,1
not the little film characters recommend boring fun was but well quite the enjoyed script,1
script little acting waste rather story slow,-1
still still terrible terrible skip story rather actually quite,-1
poorly too a actually just poor awful somewhat little liked however just made,-1
although terrible much forgettable acting just awful actually slow,-1
not movie however little terrible slow is cheap good rather poor characters poor,-1
is slow pretty forgettable bad awful script just plot overall,-1
was rather was still weak poor slow the still overall script movie,-1
the was cheap avoid quite just excellent the script,-1
script well actually a very bad overall recommend not worth enjoyed somewhat plot great,1
fun good story just although movie is a liked actually the little very fine,1
